season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2000,1,ARI,REG,NYG,28,49,318,2,3,1,-6,0,0,12,318,15,1.01134879205503,,0,20,43,0,1,1,4,-6.91338047152385,0,28,47,318,2,0,0,12,0,15,2.38201280641963,0,0,38,21,21,5,14,1,0,0,0,1,11,1,0,0,0,0,1,1,1,1,0,1,5,6,2,17,4,133,1,1,0,0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,32,,,32,0,0,1,1,0,0,1,0,0,0,0,0
2000,1,ATL,REG,SF,16,31,264,2,0,0,0,0,0,0,264,13,10.2187930398212,,0,32,95,0,2,1,6,-11.6392639670697,0,16,30,264,2,0,0,0,0,13,10.3462526612855,0,0,41,10,10,1,6,3,1,6,1,1,36,4,1,0,0,0,0,0,0,0,0,4,51,3,2,21,5,145,5,5,0,0,48,1,0,1,0,4,0,0,0,0,0,0,0,0,43;44;24;44;48,,,203,0,0,3,3,0,0,1,0,0,0,0,0
2000,1,BAL,REG,PIT,18,32,199,1,0,1,-3,0,0,0,199,9,2.89297650168288,,0,36,140,0,0,0,9,-0.812931758933701,0,18,30,199,1,0,0,0,0,9,5.27172618058381,0,0,28,8,14,2,12,2,1,6,0,0,0,6,0,0,0,0,0,0,1,1,0,6,42,4,5,50,1,38,3,3,0,0,33,1,0,2,1,0,0,0,0,0,0,0,0,0,23;26;33,,,82,0,0,1,1,0,0,1,0,0,0,0,0
2000,1,BUF,REG,TEN,13,26,174,1,0,5,-37,0,0,0,174,9,-4.197206423853,,0,35,129,0,0,0,6,-10.0882400946711,0,13,24,174,1,0,0,0,0,9,2.89096445334144,0,0,36,7,21,3,24,1,4,33,3,1,8,6,0,0,0,0,0,0,0,0,0,6,91,3,5,10,3,35,3,4,1,0,42,0.75,0,0,1,2,0,0,0,0,0,0,1,0,42;41;33,51,,116,51,0,1,1,0,0,1,1,1,0,0,33
2000,1,CAR,REG,WAS,17,26,183,1,0,6,-59,1,1,0,183,6,-3.20218172240575,,0,20,112,0,0,0,4,-0.356697702632822,0,17,25,183,1,0,0,0,0,6,6.88238244274825,0,1,49,7,7,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,65,2,0,0,5,189,1,2,1,0,29,0.5,0,1,0,0,0,0,0,1,0,0,0,0,29,27,,29,27,0,2,2,0,0,1,0,0,0,0,0
2000,1,CHI,REG,MIN,27,41,290,2,0,2,-18,0,0,0,290,13,9.41745608974596,,0,25,153,1,0,0,10,9.06047807622235,0,27,39,290,2,2,1,0,0,13,8.93235603791697,0,0,32,6,10,3,6,1,1,2,1,1,2,4,0,0,0,0,1,1,0,0,0,5,45,6,1,12,7,175,2,2,0,0,49,1,0,1,0,1,0,0,0,0,0,0,0,0,29;49,,,78,0,0,3,3,0,0,1,0,0,0,0,0
2000,1,CLE,REG,JAX,19,27,160,1,0,1,-7,0,0,0,160,7,-1.61290941800689,,0,16,96,0,0,0,2,1.95615328036365,0,19,27,160,1,1,1,0,0,7,-5.04755878658034,0,0,60,2,2,8,28,1,4,22,4,0,0,1,0,0,0,0,0,0,0,0,0,3,25,4,0,0,5,89,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2000,1,DAL,REG,PHI,13,31,135,1,2,5,-35,0,0,22,135,6,-16.0132954102189,,1,13,67,0,0,0,2,-0.714242009096779,0,13,31,135,1,0,0,22,0,6,-9.47689678847721,1,0,60,0,8,5,18,0,1,11,1,3,38,6,0,0,0,0,0,0,0,0,0,9,93,3,1,2,5,118,2,2,0,0,38,1,0,0,2,0,0,0,0,0,0,0,0,0,34;38,,,72,0,0,0,0,0,0,,0,0,0,0,0
2000,1,DEN,REG,LA,19,29,307,2,0,4,-33,0,0,0,307,13,8.37218533206469,,0,28,150,1,0,0,10,2.16727399810054,0,19,29,307,2,0,0,0,0,13,12.9681507535872,0,0,46,2,2,7,18,0,2,8,2,3,33,4,1,0,0,0,1,2,0,0,0,5,27,3,0,0,5,98,3,3,0,0,38,1,0,0,3,0,0,0,0,0,0,0,0,0,32;38;36,,,106,0,0,3,3,0,0,1,0,0,0,0,0
2000,1,DET,REG,NO,13,25,100,0,1,2,-11,0,0,1,100,5,-12.7830062213628,,0,32,98,0,2,1,7,-12.9779639938059,1,13,25,100,0,0,0,1,0,5,-9.97585161247241,0,1,45,13,13,6,24,4,5,23,5,1,6,9,0,0,0,0,1,2,2,2,0,8,74,2,4,119,3,50,2,2,0,0,30,1,0,1,1,0,0,0,0,0,0,0,0,0,24;30,,,54,0,0,0,0,0,0,,0,0,0,0,0
2000,1,GB,REG,NYJ,14,34,152,1,1,1,-3,1,0,26,152,10,-3.11799539006134,,0,16,62,0,2,1,1,-6.17032897550962,0,14,34,152,1,0,0,26,0,10,-2.27337419041251,0,0,39,16,26,1,1,0,0,0,0,1,29,6,0,0,0,0,2,2,0,0,0,10,81,4,1,43,5,116,3,3,0,0,45,1,0,0,0,3,0,0,0,0,0,0,0,0,45;42;42,,,129,0,0,1,1,0,0,1,0,0,0,0,0
