season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2013,1,ARI,REG,LA,26,40,327,2,1,4,-23,2,1,385,61,19,7.27274181715234,3.48312761634588,0,26,86,0,1,0,4,-3.59644055203535,0,26,40,327,2,0,0,385,61,19,15.321456866466,0,0,56,0,0,3,6,2,0,0,5,1,2,6,1,0,0,0,2,2,1,1,0,6,68,5,1,1,2,32,1,2,1,0,30,0.5,0,0,1,0,0,0,0,0,0,0,1,0,30,50,,30,50,0,3,3,0,0,1,0,0,0,0,0
2013,1,ATL,REG,NO,25,38,304,2,1,3,-25,0,0,205,163,14,1.47808844958854,3.51254248784648,0,14,88,0,0,0,3,2.56209193554241,0,25,36,304,2,2,1,205,163,14,2.02154966998568,0,0,49,0,20,7,26,0,2,16,3,1,0,4,0,0,0,0,0,0,0,0,0,2,19,4,2,21,0,0,1,1,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,2,2,0,0,1,0,0,0,0,0
2013,1,BAL,REG,DEN,34,62,362,2,2,4,-27,1,0,511,202,18,3.39578247770812,-5.65266096201099,0,21,58,1,0,0,3,-6.42924012191361,0,34,61,362,2,0,0,511,202,18,9.26476536832895,0,0,44,0,12,4,18,1,3,17,7,0,0,5,0,0,0,0,1,1,1,1,0,7,53,3,1,13,0,0,2,2,0,0,30,1,0,1,1,0,0,0,0,0,0,0,0,0,25;30,,,55,0,0,3,3,0,0,1,0,0,0,0,0
2013,1,BUF,REG,NE,18,27,150,2,0,0,0,0,0,194,72,6,2.79993448505411,4.94667843536094,0,34,136,0,1,1,7,-5.4169552087551,0,18,27,150,2,2,1,194,72,6,-0.661005518515594,0,0,40,24,28,3,16,1,3,15,9,1,0,7,0,0,0,0,1,1,2,2,1,10,75,4,0,0,1,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2013,1,CAR,REG,SEA,16,23,125,1,0,1,-6,0,0,147,38,9,3.85356841201428,8.04333816403928,0,26,134,0,1,1,6,-2.49867752072169,0,16,23,125,1,1,0,147,38,9,5.4456794798607,0,0,42,0,18,2,8,1,2,20,1,0,0,2,0,1,0,0,0,0,1,1,0,4,46,3,2,10,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2013,1,CHI,REG,CIN,21,33,242,2,1,0,0,0,0,229,70,12,7.87534762655567,4.43385606631637,0,28,81,1,0,0,4,-2.89245594013482,0,21,32,242,2,0,0,229,70,12,8.27024099514537,0,0,31,0,28,1,4,2,1,5,2,2,41,5,0,0,0,0,0,0,1,1,0,4,59,5,2,1,1,31,1,1,0,0,58,1,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,3,3,0,0,1,0,0,0,0,0
2013,1,CIN,REG,CHI,26,33,282,2,2,1,-5,0,0,232,91,12,7.21999161643907,12.888708033345,0,21,63,1,0,0,5,0.592489976901561,0,26,33,282,2,2,1,232,91,12,3.87523783242796,0,0,44,0,10,3,7,0,0,0,4,1,12,5,0,0,0,0,0,0,0,0,0,8,84,4,1,13,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2013,1,CLE,REG,MIA,26,53,289,1,3,6,-45,1,0,391,117,15,-11.0277227912859,-8.78290505904072,0,13,47,0,0,0,2,-1.53306956688175,0,26,53,289,1,0,0,391,117,15,-3.80601038502685,0,0,44,0,16,8,24,0,4,17,9,1,29,5,0,1,0,0,2,2,0,0,0,9,57,5,2,31,4,103,1,1,0,0,39,1,0,0,1,0,0,0,0,0,0,0,0,0,39,,,39,0,0,1,1,0,0,1,0,0,0,0,0
2013,1,DAL,REG,NYG,36,49,263,2,1,2,-19,0,0,276,138,17,-7.10308551474293,6.50975272363546,0,23,87,0,2,0,5,-5.09451458248077,0,36,49,263,2,0,0,276,138,17,-4.02826601697882,0,0,37,2,14,3,22,2,3,22,5,3,62,6,1,0,0,0,2,3,3,3,1,5,40,4,2,19,0,0,3,3,0,0,45,1,0,0,2,1,0,0,0,0,0,0,0,0,30;38;45,,,113,0,0,3,3,0,0,1,0,0,0,0,0
2013,1,DEN,REG,BAL,27,42,462,7,0,3,-17,0,0,381,271,20,24.740109924518,4.60815380016963,0,23,65,0,0,0,2,-1.7948501285864,0,27,42,462,7,1,0,381,271,20,28.8416068410152,0,0,52,1,13,10,29,1,4,27,8,2,29,11,0,3,0,0,0,0,0,0,0,8,61,3,6,63,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,7,7,0,0,1,0,0,0,0,0
