season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2002,1,ARI,REG,WAS,14,36,187,1,1,1,0,0,0,8,187,9,-0.530659634378738,,0,20,70,1,0,0,5,1.66918346151942,0,14,35,187,1,0,0,8,0,9,0.46114159585815,0,0,46,1,29,1,7,0,1,7,1,1,17,4,0,1,0,0,1,1,0,0,0,1,5,3,3,24,6,119,3,4,1,0,39,0.75,0,1,2,0,0,0,0,0,0,0,1,0,36;20;39,52,,95,52,0,2,2,0,0,1,0,0,0,0,0
2002,1,ATL,REG,GB,15,23,209,1,0,4,-15,0,0,0,209,9,8.54117769307617,,0,30,180,3,1,0,13,12.9223894291208,0,15,22,209,1,1,1,0,0,9,9.33751826048523,0,0,46,15,23,3,12,3,2,11,2,0,0,3,0,0,0,0,0,0,1,1,0,4,82,7,1,36,6,156,2,2,0,0,52,1,0,1,0,0,1,0,0,0,0,0,0,0,21;52,,,73,0,0,4,4,0,0,1,0,0,0,0,0
2002,1,BAL,REG,CAR,20,34,218,1,1,2,-6,0,0,-8,218,10,-0.993676378799497,,0,19,77,0,0,0,5,-0.285478605772369,0,20,31,218,1,0,0,-8,0,10,7.44153034692827,0,0,39,4,20,4,20,0,2,16,3,0,0,2,0,0,0,0,0,0,0,0,0,6,45,3,3,13,2,27,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,47,,0,47,0,1,1,0,0,1,0,0,0,0,0
2002,1,BUF,REG,NYJ,26,39,271,1,2,4,-29,0,0,16,271,13,1.31321628912746,,0,32,142,3,1,1,9,-1.54082487162668,0,26,39,271,1,0,0,16,0,13,6.89081321677121,0,0,36,5,13,5,20,1,3,17,3,0,0,1,0,0,0,0,0,0,1,1,0,10,82,4,2,12,7,135,1,2,1,0,52,0.5,0,0,0,0,1,0,0,0,0,0,1,0,52,50,,52,50,0,4,4,0,0,1,0,0,0,0,0
2002,1,CAR,REG,BAL,12,19,136,1,0,2,-16,0,0,0,136,7,0.889013893727679,,0,36,145,0,0,0,6,-7.08898921379293,0,12,17,136,1,0,0,0,0,7,6.34742915240349,0,0,36,6,10,6,10,0,2,6,2,1,22,11,0,2,0,0,0,0,0,0,0,6,35,2,4,32,0,0,1,2,1,0,27,0.5,0,1,0,0,0,0,0,0,0,0,1,0,27,50,,27,50,0,1,1,0,0,1,0,0,0,0,0
2002,1,CHI,REG,MIN,20,33,297,2,1,1,-9,0,0,27,297,12,12.3563323301509,,0,26,80,1,1,1,7,-6.74753075273518,0,20,32,297,2,0,0,27,0,12,15.7182537475533,0,0,45,10,10,6,18,2,1,6,0,2,16,6,0,0,0,0,0,1,1,1,0,4,33,5,2,37,5,109,2,3,1,0,49,0.666666666666667,0,0,0,2,0,0,0,0,0,1,0,0,49;49,43,,98,43,0,3,3,0,0,1,0,0,0,0,0
2002,1,CIN,REG,LAC,18,31,198,0,1,4,-31,0,0,3,198,8,-8.94223969311998,,0,13,36,0,0,0,3,-2.68774651264539,0,18,31,198,0,0,0,3,0,8,-2.56488612983028,0,0,52,2,12,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,57,4,0,0,4,79,2,2,0,0,54,1,0,1,0,0,1,0,0,0,0,0,0,0,21;54,,,75,0,0,0,0,0,0,,0,0,0,0,0
2002,1,CLE,REG,KC,28,40,359,4,0,1,-7,1,1,0,359,19,13.0004368250875,,0,20,59,0,0,0,2,-1.81439687035388,0,28,40,359,4,0,0,0,0,19,17.2665251825156,0,0,41,9,9,5,15,0,0,0,0,1,24,3,0,0,0,0,0,0,0,0,0,4,38,4,1,23,6,120,4,4,0,0,41,1,0,1,2,1,0,0,0,0,0,0,0,0,20;32;34;41,,,127,0,0,3,3,0,0,1,0,0,0,0,0
2002,1,DAL,REG,HOU,13,30,131,0,1,3,-19,0,0,8,131,5,-12.7955979319347,,0,24,155,1,0,0,5,1.93201596930157,0,13,30,131,0,0,0,8,0,5,-8.69804046685455,0,0,54,3,3,10,42,0,6,22,7,1,7,7,0,1,0,0,2,2,0,0,0,9,117,5,7,10,4,63,1,2,1,0,33,0.5,0,0,1,0,0,0,0,0,0,1,0,0,33,42,,33,42,0,1,1,0,0,1,0,0,0,0,0
2002,1,DEN,REG,LA,18,27,202,2,2,4,-15,1,0,28,202,10,-3.81262287997862,,0,26,104,0,0,0,5,-3.22710354179914,0,18,26,202,2,0,0,28,0,10,5.97396223712957,0,0,48,4,12,8,28,1,3,20,3,1,-2,7,0,0,0,0,1,1,1,1,0,3,31,3,1,4,0,0,3,3,0,0,41,1,0,0,2,1,0,0,0,0,0,0,0,0,41;34;32,,,107,0,0,2,2,0,0,1,0,0,0,0,0
