season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2009,1,ARI,REG,SF,26,44,288,1,2,3,-29,1,0,263,159,13,-9.46425449091635,-0.272285429442799,0,17,40,0,0,0,1,-5.88085052685347,0,26,41,288,1,0,0,263,159,13,-6.27440507395819,0,0,45,7,7,0,0,0,3,27,5,0,0,5,0,0,0,0,0,0,1,1,0,12,82,6,5,55,3,62,3,3,0,0,44,1,0,1,0,2,0,0,0,0,0,0,0,0,44;29;43,,,116,0,0,1,1,0,0,1,0,0,0,0,0
2009,1,ATL,REG,MIA,22,36,229,2,0,2,-16,0,0,321,126,15,2.17589053470655,-0.901491045951843,0,27,68,0,0,0,4,-9.8152668926632,0,22,35,229,2,0,0,321,126,15,5.68700663570561,0,0,47,5,5,0,0,3,4,13,4,1,39,2,0,2,0,0,0,0,3,3,0,4,35,1,3,31,2,20,2,4,2,0,50,0.5,0,0,1,0,1,0,0,0,1,1,0,0,36;50,42;38,,86,80,0,1,2,1,0,0.5,0,0,0,0,0
2009,1,BAL,REG,KC,26,43,307,3,1,1,-4,1,0,434,126,20,11.4044775766401,-1.85645035533018,0,41,198,2,0,0,11,5.6109604811063,0,26,43,307,3,0,0,434,126,20,12.3642486357443,0,0,32,10,10,0,0,1,3,18,2,0,0,4,0,0,0,0,1,1,0,0,0,8,65,4,3,9,4,79,1,2,1,0,44,0.5,0,0,0,1,0,0,0,0,0,1,0,0,44,41,,44,41,0,5,5,0,0,1,0,0,0,0,0
2009,1,BUF,REG,NE,15,25,212,2,0,4,-26,0,0,140,152,10,7.12952107046331,-5.21668207645416,0,19,90,0,0,0,5,2.22160043014446,0,15,25,212,2,0,0,140,145,10,9.23371594065284,0,0,36,30,30,0,0,0,1,10,6,1,26,2,1,0,0,0,2,2,0,0,0,9,71,5,1,5,4,97,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,3,3,0,0,1,0,0,0,0,0
2009,1,CAR,REG,PHI,14,34,138,0,5,5,-55,1,1,216,46,8,-33.928637975411,-15.7154085174684,0,30,86,1,1,1,4,-9.49523677039542,0,14,34,138,0,0,0,216,41,8,-20.290167800026,0,0,49,4,6,0,0,1,2,20,1,1,10,5,0,0,0,0,0,0,1,1,0,5,30,5,2,33,5,120,1,1,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,1,1,0,0,1,0,0,0,0,0
2009,1,CHI,REG,GB,17,36,277,1,4,2,-11,0,0,371,109,12,-13.4568390490347,-10.7536662476403,0,31,86,0,0,0,4,-5.86887359341906,0,17,35,277,1,0,0,371,109,12,-11.3740294046326,0,0,41,8,8,0,0,0,4,34,9,0,0,2,0,0,1,0,0,0,0,0,0,3,25,5,2,15,5,124,2,2,0,0,47,1,0,1,0,1,0,0,0,0,0,0,0,0,47;21,,,68,0,0,1,1,0,0,1,0,0,0,0,0
2009,1,CIN,REG,DEN,21,33,247,0,2,3,-26,0,0,222,158,12,-0.204578426433727,-1.13495141267777,0,27,86,1,1,0,6,-8.45253526946181,0,21,33,247,0,0,0,222,158,12,5.02887836098671,0,0,32,0,26,0,0,0,3,16,5,0,0,8,0,0,0,0,1,2,0,0,0,4,27,3,5,49,2,48,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2009,1,CLE,REG,MIN,21,35,205,1,1,5,-26,1,1,278,98,10,-10.1665889704317,-0.633279340607779,0,20,89,0,0,0,5,-3.22927147040126,0,21,35,205,1,1,0,278,98,10,-0.11817254076681,0,1,45,11,11,0,0,0,4,25,6,0,0,1,0,0,0,0,1,1,0,0,0,8,66,3,3,67,7,140,2,2,0,0,37,1,0,1,1,0,0,0,0,0,0,0,0,0,37;20,,,57,0,0,2,2,0,0,1,0,0,0,0,0
2009,1,DAL,REG,TB,16,27,353,3,0,1,-9,0,0,291,192,10,19.5732820587263,7.27320423832646,0,24,118,1,0,0,7,-1.76128529799963,0,16,27,353,3,0,0,291,192,10,21.1822036355997,0,0,45,14,14,0,0,0,0,0,9,0,0,3,0,2,0,17,1,1,0,0,0,4,41,3,2,3,4,70,2,2,0,0,51,1,0,1,0,0,1,0,0,0,0,0,0,0,51;22,,,73,0,0,4,4,0,0,1,0,0,0,0,0
2009,1,DEN,REG,CIN,17,28,243,1,0,3,-16,0,0,215,146,7,-1.03156983646258,-1.35097003408841,0,20,75,0,0,0,3,-2.29782318022013,0,17,28,243,1,0,0,215,146,7,3.80233473827903,0,0,35,4,40,0,0,0,3,26,4,2,5,7,0,0,0,0,1,1,0,0,0,6,39,5,3,17,2,17,2,2,0,0,50,1,0,0,0,1,1,0,0,0,0,0,0,0,48;50,,,98,0,0,0,0,0,0,,0,0,0,0,0
