season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2004,1,ARI,REG,LA,18,29,181,0,0,2,-24,0,0,0,181,9,-4.1820403902675,,0,23,103,1,0,0,4,-0.514206615572957,0,18,0,181,0,0,0,0,0,9,7.37979613820789,0,0,53,3,3,0,0,2,0,0,0,1,-1,8,0,0,0,0,0,0,2,2,0,8,59,6,1,7,5,138,1,1,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,1,1,0,0,1,0,0,0,0,0
2004,1,ATL,REG,SF,13,22,163,1,1,4,-31,2,0,0,163,8,-6.10203645756701,,0,28,95,2,0,0,4,0.767560356878676,0,13,0,163,1,0,0,0,0,8,12.1035630086553,0,0,50,7,7,0,0,1,3,20,0,1,85,13,0,0,0,0,2,2,1,1,0,7,72,5,3,19,4,49,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2004,1,BAL,REG,CLE,22,38,191,0,2,3,-25,1,1,0,191,9,-9.34406784470775,,0,26,88,0,0,0,5,-4.48081690772948,0,22,0,191,0,1,0,0,0,9,10.9122536586365,0,0,33,17,17,0,0,0,2,15,0,0,0,0,0,0,0,0,1,1,0,0,0,6,46,6,6,5,4,78,1,1,0,0,42,1,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,0,0,0,0,,0,0,0,0,0
2004,1,BUF,REG,JAX,17,26,153,1,0,1,-6,0,0,0,153,10,4.83211729008955,,0,36,95,0,1,1,6,-10.6810866951361,0,17,0,153,1,2,1,0,0,10,11.6923929767217,0,0,31,11,25,0,0,0,2,5,0,2,35,5,0,0,0,0,1,2,0,0,0,7,78,3,1,5,2,43,1,2,1,0,25,0.5,0,1,0,0,0,0,0,0,0,1,0,0,25,42,,25,42,0,1,1,0,0,1,0,0,0,0,0
2004,1,CAR,REG,GB,23,40,284,2,1,2,-22,0,0,0,284,14,6.47883900685702,,0,13,38,0,1,1,2,-7.8371169733,0,23,0,284,2,0,0,0,0,14,22.1653045266867,0,0,55,11,13,0,0,1,2,16,0,0,0,2,0,0,0,0,1,2,0,0,0,9,59,5,0,0,5,90,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0
2004,1,CHI,REG,DET,16,35,227,0,2,3,-13,1,1,0,227,8,-3.690073582693,,0,32,128,2,0,0,8,-1.25063511317501,0,16,0,227,0,1,1,0,0,8,16.8153669929889,0,0,35,14,14,0,0,0,1,2,0,1,0,4,0,1,1,0,1,1,0,0,0,9,95,4,4,80,6,132,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,27,0,0,27,2,2,0,0,1,0,0,0,0,0
2004,1,CIN,REG,NYJ,18,27,248,2,1,1,-10,0,0,0,248,11,14.6593036855956,,0,28,113,1,1,1,9,-8.06028662779136,0,18,0,248,2,0,0,0,0,11,24.935375995934,0,0,41,14,14,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,6,49,3,0,0,5,127,1,1,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,3,3,0,0,1,0,0,0,0,0
2004,1,CLE,REG,BAL,15,24,180,1,0,2,-15,0,0,0,180,6,0.668266010604805,,0,29,85,1,0,0,5,-6.35768629837548,0,15,0,180,1,0,0,0,0,6,11.3382533468539,0,0,36,21,21,0,0,2,3,25,0,2,2,4,0,0,0,0,0,0,1,1,0,6,50,4,2,19,1,30,2,2,0,0,37,1,0,1,1,0,0,0,0,0,0,0,0,0,37;25,,,62,0,0,2,2,0,0,1,0,0,0,0,0
2004,1,DAL,REG,MIN,29,51,355,1,0,1,-3,0,0,0,355,18,10.2562675813873,,0,21,71,1,2,1,8,-2.49848160735564,0,29,0,355,1,1,1,0,0,18,26.6810562697938,0,0,37,11,11,0,0,0,2,0,0,0,0,1,0,0,0,0,2,3,0,0,0,9,119,2,1,12,6,152,1,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,2,2,0,0,1,0,0,0,0,0
2004,1,DEN,REG,KC,18,29,230,2,2,2,-19,0,0,0,230,12,1.12272578915496,,0,35,202,2,1,1,13,1.23773748529493,0,18,0,230,2,1,0,0,0,12,17.771082684194,0,0,34,6,16,0,0,0,1,23,0,1,0,13,0,1,0,0,1,1,0,0,0,4,35,4,4,55,4,113,2,2,0,0,45,1,0,0,0,2,0,0,0,0,0,0,0,0,43;45,,,88,0,0,4,4,0,0,1,0,0,0,0,0
